0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
diseno-ui,diseno-web,graphic-design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ux,diseno-ui,html5,css,diseno-web,adobe-suite,sketch,wireframes,industrial-design,english,product-design,figma,,,,,,,,,,,,,,,,,,,,,
diseno-ui,html5,css,agile,front-end,diseno-web,adobe-suite,graphic-design,sketch,wireframes,industrial-design,product-design,figma,,,,,,,,,,,,,,,,,,,,
ux,diseno-ui,marketing,diseno-web,adobe-suite,sketch,wireframes,content-creation,figma,,,,,,,,,,,,,,,,,,,,,,,,
diseno-ui,diseno-web,graphic-design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diseno-ui,diseno-web,adobe-suite,graphic-design,sketch,photoshop,english,figma,,,,,,,,,,,,,,,,,,,,,,,,,
ux,diseno-ui,diseno-web,adobe-suite,figma,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ux,diseno-ui,html5,css,agile,front-end,diseno-web,adobe-suite,scrum,sketch,figma,,,,,,,,,,,,,,,,,,,,,,
javascript,ux,diseno-ui,html5,css,diseno-web,adobe-suite,sketch,figma,design-systems,,,,,,,,,,,,,,,,,,,,,,,
javascript,ux,front-end,angularjs,graphic-design,angular,,,,,,,,,,,,,,,,,,,,,,,,,,,
diseno-ui,design-systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diseno-ui,diseno-web,adobe-suite,graphic-design,sketch,photoshop,invision,direccion-de-arte,figma,,,,,,,,,,,,,,,,,,,,,,,,
ux,diseno-ui,usabilidad,ux-researcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ux,diseno-ui,analytics,agile,diseno-web,graphic-design,service-design,design-thinking,wireframes,research,figma,jira,user-testing,confluence,,,,,,,,,,,,,,,,,,,
diseno-ui,agile,lean,diseno-web,graphic-design,direccion-de-arte,wireframes,product-design,figma,design-systems,,,,,,,,,,,,,,,,,,,,,,,
ux,diseno-ui,usabilidad,diseno-web,motion-graphics,adobe-suite,photoshop,wireframes,figma,user-testing,,,,,,,,,,,,,,,,,,,,,,,
ux,diseno-ui,analytics,diseno-web,design-thinking,figma,jira,user-testing,,,,,,,,,,,,,,,,,,,,,,,,,
ux,design-thinking,industrial-design,ux-researcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marketing,sql,crm,salesforce,english,cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,
